"Food.code"	"Start.date"	"End.date"	"Main.food.description"	"Fortification.identifier"
11710634	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Enfamil PREMIUM Infant, infant formula, prepared from liquid concentrate, made with plain bottled water"	1
11710635	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Enfamil PREMIUM Infant, infant formula, prepared from liquid concentrate, made with baby water"	1
11710636	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Enfamil PREMIUM Infant, infant formula, prepared from powder, made with water, NFS"	1
11710637	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Enfamil PREMIUM Infant, infant formula, prepared from powder, made with tap water"	1
11710638	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Enfamil PREMIUM Infant, infant formula, prepared from powder, made with plain bottled water"	1
11710639	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Enfamil PREMIUM Infant, infant formula, prepared from powder, made with baby water"	1
11710640	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Enfamil PREMIUM LIPIL, infant formula, NS as to form"	1
11710642	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Enfamil PREMIUM LIPIL, infant formula, prepared from liquid concentrate, made with water, NFS"	1
11710643	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Enfamil PREMIUM LIPIL, infant formula, prepared from powder, made with water, NFS"	1
11710644	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Enfamil PREMIUM LIPIL, infant formula, prepared from liquid concentrate, made with tap water"	1
11710645	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Enfamil PREMIUM LIPIL, infant formula, prepared from liquid concentrate, made with plain bottled water"	1
11710646	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Enfamil PREMIUM LIPIL, infant formula, prepared from liquid concentrate, made with baby water"	1
11710647	"01/01/11 00:00:00"	"12/31/12 00:00:00"	"Enfamil PREMIUM LIPIL, infant formula, prepared from powder, made with tap water"	1
